Sale_ID,T00001,T00002,T00003,T00004,T00005
Sale_Date,45394,45640,45562,45398,45363
Customer_ID,C0080,C0002,C0128,C0160,C0084
Product_ID,P0004,P0015,P0006,P0049,P0030
Product_Category,Home,Toys,Electronics,Toys,Electronics
Store_ID,S001,S009,S006,S004,S009
Region,West,North,East,North,West
Quantity_Sold,9,1,2,5,4
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,Net Banking,Credit Card,Credit Card,Credit Card,Net Banking
Returned,No,No,Yes,No,No
Total_Sale_Amount,1805.31,200.59,401.18,1002.95,802.36
Sale_ID,T00006,T00007,T00008,T00009,T00010
Sale_Date,45480,45312,45394,45413,45506
Customer_ID,C0152,C0140,C0178,C0163,C0124
Product_ID,P0038,P0002,P0015,P0011,P0008
Product_Category,Clothing,Electronics,Grocery,Home,Clothing
Store_ID,S005,S005,S005,S001,S001
Region,East,West,North,East,North
Quantity_Sold,9,7,6,7,1
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,Cash,UPI,UPI,Net Banking,UPI
Returned,No,No,No,No,Yes
Total_Sale_Amount,1805.31,1404.13,1203.54,1404.13,200.59
Sale_ID,T00011,T00012,T00013,T00014,T00015
Sale_Date,45622,45379,45391,45651,45443
Customer_ID,C0033,C0161,C0189,C0179,C0171
Product_ID,P0026,P0045,P0044,P0005,P0006
Product_Category,Electronics,Toys,Clothing,Clothing,Electronics
Store_ID,S008,S008,S006,S004,S002
Region,West,West,North,East,North
Quantity_Sold,1,8,2,9,7
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,Credit Card,Cash,UPI,Cash,Credit Card
Returned,No,No,No,No,No
Total_Sale_Amount,200.59,1604.72,401.18,1805.31,1404.13
Sale_ID,T00016,T00017,T00018,T00019,T00020
Sale_Date,45422,45441,45600,45549,45635
Customer_ID,C0101,C0012,C0067,C0065,C0161
Product_ID,P0026,P0004,P0019,P0020,P0033
Product_Category,Clothing,Toys,Clothing,Toys,Electronics
Store_ID,S002,S009,S005,S004,S010
Region,West,North,West,North,East
Quantity_Sold,6,1,1,2,6
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,UPI,Net Banking,Cash,Credit Card,Cash
Returned,Yes,No,No,No,No
Total_Sale_Amount,1203.54,200.59,200.59,401.18,1203.54
Sale_ID,T00021,T00022,T00023,T00024,T00025
Sale_Date,45585,45483,45568,45452,45605
Customer_ID,C0168,C0074,C0043,C0044,C0029
Product_ID,P0020,P0049,P0012,P0047,P0001
Product_Category,Home,Clothing,Home,Toys,Clothing
Store_ID,S001,S007,S003,S006,S005
Region,East,North,North,East,West
Quantity_Sold,6,2,1,5,5
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,UPI,UPI,Net Banking,Credit Card,Credit Card
Returned,No,No,Yes,No,No
Total_Sale_Amount,1203.54,401.18,200.59,1002.95,1002.95
Sale_ID,T00026,T00027,T00028,T00029,T00030
Sale_Date,45313,45544,45527,45636,45340
Customer_ID,C0141,C0012,C0095,C0046,C0130
Product_ID,P0026,P0014,P0038,P0037,P0011
Product_Category,Grocery,Home,Clothing,Home,Clothing
Store_ID,S005,S005,S001,S001,S003
Region,East,West,North,North,West
Quantity_Sold,2,6,9,2,2
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,Net Banking,Net Banking,Credit Card,Cash,Cash
Returned,No,No,No,No,No
Total_Sale_Amount,401.18,1203.54,1805.31,401.18,401.18
Sale_ID,T00031,T00032,T00033,T00034,T00035
Sale_Date,45350,45461,45479,45562,45481
Customer_ID,C0035,C0081,C0090,C0008,C0093
Product_ID,P0036,P0013,P0043,P0003,P0033
Product_Category,Electronics,Home,Grocery,Grocery,Toys
Store_ID,S010,S004,S005,S002,S008
Region,North,West,South,East,South
Quantity_Sold,3,7,6,8,8
Unit_Price,200.59,200.59,200.59,200.59,200.59
Payment_Method,Net Banking,Cash,Credit Card,UPI,UPI
Returned,No,No,No,No,No
Total_Sale_Amount,601.77,1404.13,1203.54,1604.72,1604.72
Sale_ID,T00036,T00037,T00038,T00039,T00040
