Sale_Date,Customer_ID,Product_ID,Product_Category,Store_ID,Region,Quantity_Sold,Unit_Price,Payment_Method,Returned,Total_Sale_Amount,Sale_ID
12/04/2024,C0080,P0004,Home,S001,West,9,200.59,Net Banking,No,1805.31,T00006
14/12/2024,C0002,P0015,Toys,S009,North,1,200.59,Credit Card,No,200.59,T00007
27/09/2024,C0128,P0006,Electronics,S006,East,2,200.59,Credit Card,Yes,401.18,T00008
16/04/2024,C0160,P0049,Toys,S004,North,5,200.59,Credit Card,No,1002.95,T00009
12/03/2024,C0084,P0030,Electronics,S009,West,4,200.59,Net Banking,No,802.36,T00010
45480,C0152,P0038,Clothing,S005,East,9,200.59,Cash,No,1805.31,T00011
45312,C0140,P0002,Electronics,S005,West,7,200.59,UPI,No,1404.13,T00012
45394,C0178,P0015,Grocery,S005,North,6,200.59,UPI,No,1203.54,T00013
45413,C0163,P0011,Home,S001,East,7,200.59,Net Banking,No,1404.13,T00014
45506,C0124,P0008,Clothing,S001,North,1,200.59,UPI,Yes,200.59,T00015
45622,C0033,P0026,Electronics,S008,West,1,200.59,Credit Card,No,200.59,T00016
45379,C0161,P0045,Toys,S008,West,8,200.59,Cash,No,1604.72,T00017
45391,C0189,P0044,Clothing,S006,North,2,200.59,UPI,No,401.18,T00018
45651,C0179,P0005,Clothing,S004,East,9,200.59,Cash,No,1805.31,T00019
45443,C0171,P0006,Electronics,S002,North,7,200.59,Credit Card,No,1404.13,T00020
45422,C0101,P0026,Clothing,S002,West,6,200.59,UPI,Yes,1203.54,T00021
45441,C0012,P0004,Toys,S009,North,1,200.59,Net Banking,No,200.59,T00022
45600,C0067,P0019,Clothing,S005,West,1,200.59,Cash,No,200.59,T00023
45549,C0065,P0020,Toys,S004,North,2,200.59,Credit Card,No,401.18,T00024
45635,C0161,P0033,Electronics,S010,East,6,200.59,Cash,No,1203.54,T00025
45585,C0168,P0020,Home,S001,East,6,200.59,UPI,No,1203.54,T00026
45483,C0074,P0049,Clothing,S007,North,2,200.59,UPI,No,401.18,T00027
45568,C0043,P0012,Home,S003,North,1,200.59,Net Banking,Yes,200.59,T00028
45452,C0044,P0047,Toys,S006,East,5,200.59,Credit Card,No,1002.95,T00029
45605,C0029,P0001,Clothing,S005,West,5,200.59,Credit Card,No,1002.95,T00030
45313,C0141,P0026,Grocery,S005,East,2,200.59,Net Banking,No,401.18,T00031
45544,C0012,P0014,Home,S005,West,6,200.59,Net Banking,No,1203.54,T00032
45527,C0095,P0038,Clothing,S001,North,9,200.59,Credit Card,No,1805.31,T00033
45636,C0046,P0037,Home,S001,North,2,200.59,Cash,No,401.18,T00034
45340,C0130,P0011,Clothing,S003,West,2,200.59,Cash,No,401.18,T00035
45350,C0035,P0036,Electronics,S010,North,3,200.59,Net Banking,No,601.77,T00036
45461,C0081,P0013,Home,S004,West,7,200.59,Cash,No,1404.13,T00037
45479,C0090,P0043,Grocery,S005,South,6,200.59,Credit Card,No,1203.54,T00038
45562,C0008,P0003,Grocery,S002,East,8,200.59,UPI,No,1604.72,T00039
45481,C0093,P0033,Toys,S008,South,8,200.59,UPI,No,1604.72,T00040
45466,C0154,P0006,Clothing,S002,West,6,200.59,Cash,No,1203.54,T00041
45342,C0090,P0050,Home,S009,East,3,200.59,Net Banking,No,601.77,T00042
45655,C0162,P0010,Toys,S002,West,3,200.59,Net Banking,No,601.77,T00043
45346,C0115,P0005,Home,S009,East,1,200.59,Net Banking,No,200.59,T00044
45535,C0105,P0023,Clothing,S007,East,7,200.59,Net Banking,No,1404.13,T00045
